Ord: ['glosa', 'term', 'namn']
Teatralisk: ['tillgjord', 'överdrivet dramatisk', 'teatral']
Indignationen: ['förtrytelse', 'harm', 'vrede']
upprättelse: ['gottgörelse', 'återupprättelse', 'rehabilitering; hämnd']
kumulativ: ['adderande', 'växande', 'ökande']
erinra: ['påminna', 'väcka minne', 'minna']
Rättskaffens: ['redlig', 'rättrådig', 'hederlig']
Ogenomtränglig: ['tät', 'tjock', 'kompakt']
Vulgärt: ['simpel', 'okultiverad', 'grov']
Praktfull: ['ståtlig', 'lysande', 'prunkande']
Frenesi: ['vild energi', 'ursinne', 'raseri']
Farhågorna: ['oro', 'fruktan', 'ängslan']
profetiskt: ['profet-', 'siar-; framsynt', 'förutsägande']
Resolut: ['beslutsam', 'bestämd', 'kraftfull']
Obskyra: ['äv. obskur okänd', 'obekant', 'obemärkt; tvivelaktig']
Hämma: ['hejda', 'hindra', 'förhindra']
Graverande: ['besvärande', 'allvarlig', 'försvårande']
Fåfäng: ['flärdfull', 'egenkär', 'självbelåten']
Ånyo: ['på nytt', 'åter', 'än en gång']
Sorti: ['utträde från scen', 'utträde; utgång', 'försvinnande']
Premiss: ['förutsättning', 'utgångspunkt', 'antagande']
Ensemblen: ['teatersällskap', 'sällskap', 'grupp; musikgrupp']
ostmacka: []
Konvalescent: ['person på bättringsvägen', 'rekonvalescent', 'patient']
Blasfemi: ['hädelse', 'vanhelgande', 'ogudaktighet']
Anspråk: ['krav', 'pretentioner', 'fordran']
Angenäma: ['behaglig', 'trevlig', 'nöjsam']
Fåfäng: ['flärdfull', 'egenkär', 'självbelåten']
Cynisk: ['rå', 'skamlös', 'fräck']
Solidaritet: ['sammanhållning', 'kamratanda', 'kamratlighet']
Absurd: ['orimlig', 'förnuftsvidrig', 'förnuftsstridig']
Bisarr: ['besynnerlig', 'egendomlig', 'underlig']
Egendomligt: ['besynnerlig', 'märklig', 'sällsam']
Nostalgi: ['(melankolisk)                                                                                längtan tillbaka', 'trånsjuka', 'vemodstrånad; hemlängtan']
Tyranni: ['grym förtryckarregim', 'skräckvälde', 'despoti']
Partisk: ['orättvis', 'osaklig', 'subjektiv']
Civiliserad: ['ordnad', 'icke primitiv', 'upplyst']
Sporadisk: ['enstaka', 'tillfällig', 'tillfälligt förekommande']
Övergivande: ['abandon', 'avfall', 'avhopp']
Pionjär: ['banbrytare', 'föregångsman', 'föregångare']
Jävig: ['jävaktig', 'icke opartisk', 'partisk']
Sentimentet: ['känsla', 'sinnesstämning', 'inställning']
Sentimental: ['känslosam', 'känslofull', 'gråtmild']
Anspråksfull: ['fordrande', 'pretentiös', 'förmäten']
Förbittring: ['vrede', 'harm', 'ilska']
Indignation: ['förtrytelse', 'harm', 'vrede']
Nostalgi: ['(melankolisk)                                                                                längtan tillbaka', 'trånsjuka', 'vemodstrånad; hemlängtan']
Aura: ['strålglans', 'nimbus', 'gloria; utstrålning']
Perplex: ['förbluffad', 'handfallen', 'häpen']
Proklamera: ['tillkännage', 'kungöra', 'offentligt förklara']
Luftslott: ['orealistisk framtidsdröm', 'illusion', 'hägring']
Beklämmande: ['nedstämmande', 'nedslående', 'pinsam']
Dystopi: ['negativ framtidsvision', 'dyster framtidssyn; inhumant samhälle', 'utopi']
Utopi: ['ouppnåeligt ideal', 'idealsamhälle; outförbar tanke', 'önskedröm']
Perversitet: ['sodomi', 'sexuell abnormitet', 'avvikande sexuellt beteende']
Intuitionen: ['ingivelse', 'instinktiv uppfattning', 'instinkt']
Ligist: ['ligamedlem', 'huligan', 'vandal']
tvungit: []
regna: ['falla regn', 'skvala', 'dugga']
Melankoliska: ['tungsint', 'sorgsen', 'vemodig']
Subjektiva: ['personlig', 'partisk; färgad', 'ensidig']
Byråkratiska: ['formalistisk', 'ämbetsdryg', 'formell; krånglig']
Banal: ['alldaglig', 'utsliten', 'sliten']
Symbolik: ['läran om symboler', 'symbolisk innebörd', 'symbolisk effekt']
Hallucinationer: ['sinnesvilla', 'synvilla', 'hörselvilla; hjärnspöke']
Ovedersägligt: ['obestridlig', 'oneklig', 'absolut säker']
Demagog: ['folkuppviglare', 'folkförförare', 'folkförledare']
Polygami: ['månggifte', 'polyandri', 'polygyni']
Monogami: ['engifte', 'polygami; bigami']
patriarkat: ['mansstyrt samhälle', 'manssamhälle; fadersvälde', 'patriarks ämbetsområde']
Storsint: ['överseende', 'generös', 'tolerant']
Dunkel: ['halvmörk', 'mörk', 'skum']
Vidsynt: ['tolerant', 'fördomsfri', 'upplyst']
Pretentiös: ['anspråksfull', 'fordrande', 'krävande']
modus: []
Sanktionerar: ['godkänna', 'ge bifall till', 'ge tillstånd']
